('Thigpen ', 'Bay Springs', '31.95376472', '-89.23450472')
('Livingston Municipal', 'Livingston', '30.68586111', '-95.01792778')
('Meadow Lake', 'Colorado Springs', '38.94574889', '-104.5698933')
('Perry-Warsaw', 'Perry', '42.74134667', '-78.05208056')
('Hilliard Airpark', 'Hilliard', '30.6880125', '-81.90594389')
('Tishomingo County', 'Belmont', '34.49166667', '-88.20111111')
('Gragg-Wade ', 'Clanton', '32.85048667', '-86.61145333')
('Capitol', 'Brookfield', '43.08751', '-88.17786917')
('Columbiana County', 'East Liverpool', '40.67331278', '-80.64140639')
('Memphis Memorial', 'Memphis', '40.44725889', '-92.22696056')
('Calhoun County', 'Pittsboro', '33.93011222', '-89.34285194')
('Hawley Municipal', 'Hawley', '46.88384889', '-96.35089861')
('Griffith-Merrillville ', 'Griffith', '41.51961917', '-87.40109333')
('Gatesville - City/County', 'Gatesville', '31.42127556', '-97.79696778')
('Eureka', 'Eureka', '39.60416667', '-116.0050597')
('Moton  Municipal', 'Tuskegee', '32.46047167', '-85.68003611')
('Schaumburg', 'Chicago/Schaumburg', '41.98934083', '-88.10124278')
('Rolla Municipal', 'Rolla', '48.88434111', '-99.62087694')
('Eupora Municipal', 'Eupora', '33.53456583', '-89.31256917')
('Randall ', 'Middletown', '41.43156583', '-74.39191722')
('Jackpot/Hayden ', 'Jackpot', '41.97602222', '-114.6580911')
('Dekalb County', 'Auburn', '41.30716667', '-85.06433333')
('Gladewater Municipal', 'Gladewater', '32.52883861', '-94.97174556')
('Fitch H Beach', 'Charlotte', '42.57450861', '-84.81143139')
('Central City Municipal', 'Central City', '41.11668056', '-98.05033639')
('Wetumpka Municipal', 'Wetumpka', '32.52943944', '-86.32822139')
('Stanley Municipal', 'Stanley', '48.30079861', '-102.4063514')
('Harvard State', 'Harvard', '40.65138528', '-98.07978667')
('Carthage-Leake County', 'Carthage', '32.76124611', '-89.53007139')
('Butler-Choctaw County', 'Butler', '32.11931306', '-88.1274625')
('Jekyll Island', 'Jekyll Island', '31.07447222', '-81.42777778')
('Sargent Municipal', 'Sargent', '41.63695083', '-99.34038139')
('Charleston Municipal', 'Charleston', '33.99150222', '-90.078145')
('South Capitol Street', 'Washington', '38.86872333', '-77.00747583')
('Smithville Municipal', 'Smithville', '35.98531194', '-85.80931806')
('Bibb County', 'Centreville', '32.93679056', '-87.08888306')
('Elizabethton Municipal', 'Elizabethton', '36.37094306', '-82.17374111')
('Pilot Station', 'Pilot Station', '61.93396417', '-162.8929358')
('Col. Dyke ', 'Bethel', '44.42506444', '-70.80784778')
('Hartington Municipal', 'Hartington', '42.60355556', '-97.25263889')
('Turners Falls', 'Montague', '42.59136361', '-72.52275472')
('Warren-Sugar Bush', 'Warren', '44.11672722', '-72.82705806')
('Elizabeth ', 'Fishers Island', '41.25130806', '-72.03161139')
('Dacy', 'Chicago/Harvard', '42.40418556', '-88.63343222')
('Pender Municipal', 'Pender', '42.11388722', '-96.72892556')
('South Haven Municipal', 'South Haven', '42.35083333', '-86.25613889')
('Gettysburg Municipal', 'Gettysburg', '44.98730556', '-99.9535')
('Moriarty', 'Moriarty', '34.98560639', '-106.0094661')
('Crownpoint', 'Crownpoint', '35.71765889', '-108.2015961')
('Bowie Municipal', 'Bowie', '33.60166667', '-97.77556')
('Loup City Municipal', 'Loup City', '41.29028694', '-98.99064278')
('Fountainhead Lodge Airpark', 'Eufaula', '35.38898833', '-95.60165111')
('William R Pogue Municipal', 'Sand Springs', '36.17528', '-96.15181028')
('Tishomingo Airpark', 'Tishomingo', '34.19592833', '-96.67555694')
('North Buffalo Suburban', 'Lockport', '43.10318389', '-78.70334583')
('Tecumseh Municipal', 'Tecumseh', '40.39944417', '-96.17139694')
('Williams County', 'Bryan', '41.46736111', '-84.50655556')
('Finger Lakes Regional', 'Seneca Falls', '42.88062278', '-76.78162028')
('Trego Wakeeney ', 'Wakeeney', '39.0044525', '-99.89289917')
('Cynthiana-Harrison County', 'Cynthiana', '38.36674167', '-84.28410056')
('Abbeville Municipal', 'Abbeville', '31.60016778', '-85.23882222')
('Florala Municipal', 'Florala', '31.04247361', '-86.31156111')
('Headland Municipal', 'Headland', '31.364895', '-85.30965556')
('Humboldt Municipal', 'Humboldt', '42.7360825', '-94.24524167')
('Goldfield', 'Goldfield', '37.71798833', '-117.2384119')
('Jean', 'Jean', '35.76827222', '-115.3296378')
('Echo Bay', 'Overton', '36.31108972', '-114.4638672')
('Dumas Municipal', 'Dumas', '33.8845475', '-91.53429111')
('Scott ', 'Parsons', '35.63778', '-88.127995')
('Benton County', 'Camden', '36.01122694', '-88.12328833')
('Humphreys County', 'Waverly', '36.11659972', '-87.73815889')
('Panola County', 'Batesville', '34.36677444', '-89.90008917')
('Byerley', 'Lake Providence', '32.82587917', '-91.187665')
('Calaveras Co-Maury Rasmussen ', 'San Andreas', '38.14611639', '-120.6481733')
('Corning Municipal', 'Corning', '39.94376806', '-122.1713781')
('University', 'Davis', '38.53146222', '-121.7864906')
('Shelter Cove', 'Shelter Cove', '40.02764333', '-124.0733639')
('Shingletown', 'Shingletown', '40.52210111', '-121.8177683')
('Columbia-Marion County', 'Columbia', '31.29700806', '-89.81282944')
('Atmore Municipal', 'Atmore', '31.01621528', '-87.44675972')
('Abbeville Chris Crusta Memorial', 'Abbeville', '29.97576083', '-92.08415167')
('Concordia Parish', 'Vidalia', '31.56683278', '-91.50011889')
('David G Joyce', 'Winnfield', '31.96366222', '-92.66026056')
('Red River', 'Coushatta', '31.99071694', '-93.30739306')
('Dorothy Scott', 'Oroville', '48.958965', '-119.4119622')
('Jefferson County International', 'Port Townsend', '48.04981361', '-122.8012792')
