('Tishomingo County', 'Belmont', '34.49166667', '-88.20111111')
('Gragg-Wade ', 'Clanton', '32.85048667', '-86.61145333')
('Calhoun County', 'Pittsboro', '33.93011222', '-89.34285194')
('Moton  Municipal', 'Tuskegee', '32.46047167', '-85.68003611')
('Eupora Municipal', 'Eupora', '33.53456583', '-89.31256917')
('Gladewater Municipal', 'Gladewater', '32.52883861', '-94.97174556')
('Wetumpka Municipal', 'Wetumpka', '32.52943944', '-86.32822139')
('Carthage-Leake County', 'Carthage', '32.76124611', '-89.53007139')
('Butler-Choctaw County', 'Butler', '32.11931306', '-88.1274625')
('Charleston Municipal', 'Charleston', '33.99150222', '-90.078145')
('Smithville Municipal', 'Smithville', '35.98531194', '-85.80931806')
('Bibb County', 'Centreville', '32.93679056', '-87.08888306')
('Elizabethton Municipal', 'Elizabethton', '36.37094306', '-82.17374111')
('Bowie Municipal', 'Bowie', '33.60166667', '-97.77556')
('Fountainhead Lodge Airpark', 'Eufaula', '35.38898833', '-95.60165111')
('William R Pogue Municipal', 'Sand Springs', '36.17528', '-96.15181028')
('Tishomingo Airpark', 'Tishomingo', '34.19592833', '-96.67555694')
('Dumas Municipal', 'Dumas', '33.8845475', '-91.53429111')
('Scott ', 'Parsons', '35.63778', '-88.127995')
('Benton County', 'Camden', '36.01122694', '-88.12328833')
('Humphreys County', 'Waverly', '36.11659972', '-87.73815889')
('Panola County', 'Batesville', '34.36677444', '-89.90008917')
('Byerley', 'Lake Providence', '32.82587917', '-91.187665')
('Hollandale Municipal', 'Hollandale', '33.18262167', '-90.83065444')
('Haskell Municipal', 'Haskell', '33.19155556', '-99.71793056')
('Luka ', 'Luka', '34.7723125', '-88.16587444')
('Franklin County', 'Canon', '34.34010472', '-83.13348333')
('McCreary County ', 'Pine Knot', '36.69591306', '-84.39160389')
('Jackson County', 'Jefferson', '34.17402472', '-83.56066528')
('C A Moore', 'Lexington', '33.12546111', '-90.02555694')
('Martin Campbell ', 'Copperhill', '35.01619111', '-84.34631083')
('Macon County', 'Franklin', '35.222595', '-83.41904389')
('Middlesboro-Bell County', 'Middlesboro', '36.6106375', '-83.73741611')
('Jackson County', 'Gainesboro', '36.39728139', '-85.64164278')
('Autauga County', 'Prattville', '32.438775', '-86.51044778')
('Downtown Ardmore', 'Ardmore', '34.14698917', '-97.12265194')
('Lake Murray State Park', 'Overbrook', '34.07509694', '-97.10667917')
('Madill Municipal', 'Madill', '34.14040194', '-96.81203222')
('Bridgeport Municipal', 'Bridgeport', '33.17533333', '-97.82838889')
('Lindsay Municipal', 'Lindsay', '34.85007333', '-97.58642028')
('David J. Perry', 'Goldsby', '35.1550675', '-97.47039389')
('Waynoka Municipal', 'Waynoka', '36.56670028', '-98.85231333')
('North Little Rock Municipal', 'No Lit Rock', '34.83398056', '-92.25792778')
('Belzoni Municipal', 'Belzoni', '33.14518056', '-90.51528472')
('Posey ', 'Haleyville', '34.28034806', '-87.60044139')
('Portland Municipal', 'Portland', '36.59287528', '-86.47691028')
('Fulton', 'Fulton', '36.52589417', '-88.91561611')
('Grandfield Municipal', 'Grandfield', '34.23758944', '-98.74200917')
('Thomas Municipal', 'Thomas', '35.73338222', '-98.73063833')
('Robbins ', 'Oneonta', '33.97231972', '-86.37942722')
('Macon Municipal', 'Macon', '33.13345889', '-88.53559806')
('Jacksboro Municipal', 'Jacksboro', '33.228725', '-98.14671083')
('Pontotoc County', 'Pontotoc', '34.27593833', '-89.03839694')
('Clarke County', 'Quitman', '32.08487111', '-88.73893389')
('Jackson County', 'Sylva', '35.3168625', '-83.20936806')
('Ripley ', 'Ripley', '34.72226778', '-89.01504944')
('Ashland/Lineville', 'Ashland/Lineville', '33.28761417', '-85.80412861')
('Elbert County-Patz ', 'Elberton', '34.09519722', '-82.81586417')
('Newberry Municipal', 'Newberry', '34.30927778', '-81.63972222')
('Mark Anton', 'Dayton', '35.48624611', '-84.93109722')
('Jamestown Municipal', 'Jamestown', '36.34970833', '-84.94664472')
('Skiatook Municipal', 'Skiatook', '36.357035', '-96.01138556')
('Commerce Municipal', 'Commerce', '33.29288889', '-95.89641806')
('Morehouse Memorial', 'Bastrop', '32.75607944', '-91.88057194')
('Aurora Memorial Municipal', 'Aurora', '36.96230778', '-93.69531111')
('Louisville Municipal', 'Louisville', '32.98654083', '-82.38568139')
('Millen', 'Millen', '32.89376972', '-81.96511583')
('Scott ', 'Mangum', '34.89172583', '-99.52675667')
('Lawrenceburg Municipal', 'Lawrenceburg', '35.2343025', '-87.25793222')
('Sallisaw Municipal', 'Sallisaw', '35.43816667', '-94.80277778')
('G. V. Montgomery', 'Forest', '32.35347778', '-89.48867944')
('Charles W. Baker', 'Millington', '35.27897583', '-89.93147611')
('Hinton Municipal', 'Hinton', '35.50592472', '-98.34236111')
('Water Valley ', 'Water Valley', '34.16677639', '-89.68619722')
('Laurens County', 'Laurens', '34.50705556', '-81.94719444')
('Calico Rock-Izard County', 'Calico Rock', '36.16565278', '-92.14523611')
('Folsom ', 'Cullman', '34.26870833', '-86.85833611')
('New Tazewell Municipal', 'Tazewell', '36.41008417', '-83.55546167')
('Anson County', 'Wadesboro', '35.02397611', '-80.08127333')
('De Soto Parish', 'Mansfield', '32.07345972', '-93.76551889')
('Vivian', 'Vivian', '32.86133333', '-94.01015361')
('Jones Memorial', 'Bristow', '35.80685278', '-96.42185556')
('Ridgeland', 'Ridgeland', '32.49268694', '-80.99233028')
('Greene County Airpark', 'Greensboro', '33.59766667', '-83.139')
('Lafayette Municipal', 'Lafayette', '36.518375', '-86.05828083')
('North Pickens ', 'Reform', '33.38900611', '-88.00557806')
('Warren Municipal', 'Warren', '33.56044333', '-92.08538861')
('Municipal', 'Purcell', '34.97979444', '-97.38586167')
('Sayre Municipal', 'Sayre', '35.16755222', '-99.65787361')
('Walters Municipal', 'Walters', '34.37258444', '-98.40588583')
('Grand Lake Regional', 'Afton', '36.5775775', '-94.86190028')
('Melbourne Municipal', 'Melbourne', '36.07079222', '-91.82914667')
('Blairsville', 'Blairsville', '34.85508722', '-83.996855')
('Cherokee County', 'Canton', '34.31058333', '-84.42391667')
('Cochran', 'Cochran', '32.39936111', '-83.27591667')
('Gilmer County', 'Ellijay', '34.62786417', '-84.52492889')
('Downtown Heliport', 'Dallas', '32.77333333', '-96.80027778')
('Cornelius-Moore ', 'Cedartown', '34.01869444', '-85.14647222')
('Marshall-Searcy County', 'Marshall', '35.89893667', '-92.65588611')
('Scottsboro Municipal', 'Scottsboro', '34.68897278', '-86.0058125')
('Clayton County', 'Hampton', '33.38911111', '-84.33236111')
('Isbell ', 'Fort Payne', '34.4728925', '-85.72221722')
('Panola County-Sharpe ', 'Carthage', '32.17608333', '-94.29880556')
('Gilmer-Upshur County', 'Gilmer', '32.699', '-94.94886111')
('Carroll County', 'Berryville', '36.38340333', '-93.61685667')
('Carlisle Municipal', 'Carlisle', '34.80823', '-91.71205083')
('Clinton Municipal', 'Clinton', '35.59785528', '-92.45182472')
('Russellville-Logan County', 'Russellville', '36.79991667', '-86.81016667')
('Clarendon Municipal', 'Clarendon', '34.64870694', '-91.39457111')
('Corning Municipal', 'Corning', '36.40423139', '-90.64792639')
